Epoch 1, Train Acc: 8.7928, Train Loss: 4.9619, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 12.9800, Test Loss: 3.7582
Epoch 2, Train Acc: 18.9681, Train Loss: 5.0521, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 19.0400, Test Loss: 3.4185
Epoch 3, Train Acc: 27.2407, Train Loss: 5.1727, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 26.8500, Test Loss: 3.1373
Epoch 4, Train Acc: 33.6588, Train Loss: 5.3191, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 29.7400, Test Loss: 3.0378
Epoch 5, Train Acc: 37.9922, Train Loss: 5.5291, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 39.3600, Test Loss: 2.4567
Epoch 6, Train Acc: 41.7154, Train Loss: 5.7826, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 36.7100, Test Loss: 2.7765
Epoch 7, Train Acc: 44.4282, Train Loss: 6.0578, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 43.9900, Test Loss: 2.3087
Epoch 8, Train Acc: 46.5629, Train Loss: 6.3538, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 34.5000, Test Loss: 3.2259
Epoch 9, Train Acc: 48.3395, Train Loss: 6.6664, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.6900, Test Loss: 2.3309
Epoch 10, Train Acc: 49.7639, Train Loss: 6.9706, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.9500, Test Loss: 2.3972
Epoch 11, Train Acc: 50.6962, Train Loss: 7.2846, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.8200, Test Loss: 2.4568
Epoch 12, Train Acc: 51.6185, Train Loss: 7.6300, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.6000, Test Loss: 2.3482
Epoch 13, Train Acc: 52.4368, Train Loss: 7.9426, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.5600, Test Loss: 2.1847
Epoch 14, Train Acc: 53.3671, Train Loss: 8.2543, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.0700, Test Loss: 2.8814
Epoch 15, Train Acc: 54.0513, Train Loss: 8.6155, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.2900, Test Loss: 2.0539
Epoch 16, Train Acc: 53.9793, Train Loss: 9.0290, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.1800, Test Loss: 2.1654
Epoch 17, Train Acc: 54.5995, Train Loss: 9.3107, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.6800, Test Loss: 2.2190
