Epoch 1, Train Acc: 10.8435, Train Loss: 5.2104, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 17.2100, Test Loss: 3.4190
Epoch 2, Train Acc: 24.9020, Train Loss: 3.8640, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 22.6900, Test Loss: 3.2265
Epoch 3, Train Acc: 34.0609, Train Loss: 3.2153, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 33.3900, Test Loss: 2.5575
Epoch 4, Train Acc: 40.1148, Train Loss: 2.8304, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 37.3400, Test Loss: 2.4660
Epoch 5, Train Acc: 44.0941, Train Loss: 2.5935, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.7900, Test Loss: 2.2929
Epoch 6, Train Acc: 47.4512, Train Loss: 2.4169, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 43.1000, Test Loss: 2.1618
Epoch 7, Train Acc: 49.7779, Train Loss: 2.3061, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.5900, Test Loss: 2.0690
Epoch 8, Train Acc: 51.2904, Train Loss: 2.2264, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.9200, Test Loss: 1.8837
Epoch 9, Train Acc: 52.4228, Train Loss: 2.1517, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.4800, Test Loss: 2.0499
Epoch 10, Train Acc: 53.5211, Train Loss: 2.0968, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.2700, Test Loss: 1.9204
Epoch 11, Train Acc: 54.4474, Train Loss: 2.0555, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.6800, Test Loss: 1.8563
Epoch 12, Train Acc: 54.9396, Train Loss: 2.0253, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.6900, Test Loss: 1.8400
