Epoch 1, Train Acc: 10.8435, Train Loss: 3.0518, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 14.7400, Test Loss: 3.4951
Epoch 2, Train Acc: 23.7576, Train Loss: 2.2961, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 21.2200, Test Loss: 3.2200
Epoch 3, Train Acc: 32.9205, Train Loss: 1.9338, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 36.8200, Test Loss: 2.4505
Epoch 4, Train Acc: 39.6287, Train Loss: 1.6974, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 38.0300, Test Loss: 2.3585
Epoch 5, Train Acc: 43.7440, Train Loss: 1.5544, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.0200, Test Loss: 2.3588
Epoch 6, Train Acc: 46.6329, Train Loss: 1.4625, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.3700, Test Loss: 2.0528
Epoch 7, Train Acc: 49.0137, Train Loss: 1.3908, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.9400, Test Loss: 2.0673
Epoch 8, Train Acc: 51.2644, Train Loss: 1.3303, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.8400, Test Loss: 2.0149
Epoch 9, Train Acc: 52.1427, Train Loss: 1.2915, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.2000, Test Loss: 2.1153
Epoch 10, Train Acc: 53.4331, Train Loss: 1.2509, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.2200, Test Loss: 2.0320
Epoch 11, Train Acc: 54.1473, Train Loss: 1.2288, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.7000, Test Loss: 1.9078
Epoch 12, Train Acc: 55.0716, Train Loss: 1.2077, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.8500, Test Loss: 1.9691
