Epoch 1, Train Acc: 6.6981, Train Loss: 37.4244, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 11.8600, Test Loss: 4.2488
Epoch 2, Train Acc: 17.5856, Train Loss: 31.1294, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 19.2400, Test Loss: 4.2600
Epoch 3, Train Acc: 27.5408, Train Loss: 26.1969, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 31.2200, Test Loss: 3.5247
Epoch 4, Train Acc: 34.8672, Train Loss: 22.8768, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 36.6000, Test Loss: 2.9354
Epoch 5, Train Acc: 40.2929, Train Loss: 20.4607, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 37.4000, Test Loss: 3.1963
Epoch 6, Train Acc: 44.1061, Train Loss: 18.8639, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 40.8900, Test Loss: 2.9921
Epoch 7, Train Acc: 47.5112, Train Loss: 17.4463, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.8800, Test Loss: 2.9367
Epoch 8, Train Acc: 49.3758, Train Loss: 16.6100, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.0400, Test Loss: 2.5924
Epoch 9, Train Acc: 51.2324, Train Loss: 15.9475, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 42.8300, Test Loss: 2.9052
Epoch 10, Train Acc: 52.3608, Train Loss: 15.4332, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.7500, Test Loss: 2.5186
Epoch 11, Train Acc: 53.6072, Train Loss: 14.9630, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.3600, Test Loss: 2.8074
Epoch 12, Train Acc: 54.6415, Train Loss: 14.5050, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.6100, Test Loss: 2.5541
Epoch 13, Train Acc: 54.9036, Train Loss: 14.3512, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.6700, Test Loss: 2.4415
Epoch 14, Train Acc: 55.7899, Train Loss: 14.0517, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.0300, Test Loss: 3.0394
Epoch 15, Train Acc: 56.6601, Train Loss: 13.7479, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.5600, Test Loss: 2.2214
Epoch 16, Train Acc: 56.5261, Train Loss: 13.7325, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.7100, Test Loss: 2.1570
Epoch 17, Train Acc: 57.1643, Train Loss: 13.5129, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.1600, Test Loss: 2.4095
Epoch 18, Train Acc: 57.8505, Train Loss: 13.2953, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.5800, Test Loss: 2.8029
