Epoch 1, Train Acc: 1.5505, Train Loss: 7.9253, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.5600, Test Loss: 4.5801
Epoch 2, Train Acc: 3.8992, Train Loss: 7.4636, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 5.8300, Test Loss: 4.3708
Epoch 3, Train Acc: 9.0809, Train Loss: 6.9862, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 10.7200, Test Loss: 4.2404
Epoch 4, Train Acc: 17.1255, Train Loss: 6.5324, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 17.0200, Test Loss: 4.0563
Epoch 5, Train Acc: 26.7386, Train Loss: 6.0425, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 27.6200, Test Loss: 3.7997
Epoch 6, Train Acc: 35.0172, Train Loss: 5.6616, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 34.4600, Test Loss: 3.6491
Epoch 7, Train Acc: 40.3229, Train Loss: 5.4078, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 36.8200, Test Loss: 3.5888
Epoch 8, Train Acc: 44.3762, Train Loss: 5.2189, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 39.7600, Test Loss: 3.5660
Epoch 9, Train Acc: 47.5212, Train Loss: 5.0844, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 44.6800, Test Loss: 3.4569
Epoch 10, Train Acc: 49.7879, Train Loss: 4.9837, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 47.3800, Test Loss: 3.4395
Epoch 11, Train Acc: 51.2644, Train Loss: 4.9113, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.8700, Test Loss: 3.4211
Epoch 12, Train Acc: 52.7269, Train Loss: 4.8564, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.9900, Test Loss: 3.4216
Epoch 13, Train Acc: 54.0893, Train Loss: 4.7916, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 48.4300, Test Loss: 3.4312
Epoch 14, Train Acc: 55.2417, Train Loss: 4.7555, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.5200, Test Loss: 3.3907
Epoch 15, Train Acc: 56.1680, Train Loss: 4.7158, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.9600, Test Loss: 3.3929
Epoch 16, Train Acc: 57.1863, Train Loss: 4.6827, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.9000, Test Loss: 3.3298
Epoch 17, Train Acc: 57.3203, Train Loss: 4.6611, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.9900, Test Loss: 3.3012
Epoch 18, Train Acc: 57.7305, Train Loss: 4.6410, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 46.5000, Test Loss: 3.3837
Epoch 19, Train Acc: 58.4147, Train Loss: 4.6145, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.2500, Test Loss: 3.3947
Epoch 20, Train Acc: 58.6048, Train Loss: 4.5988, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 50.2200, Test Loss: 3.3842
Epoch 21, Train Acc: 59.1029, Train Loss: 4.5861, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.1000, Test Loss: 3.3375
Epoch 22, Train Acc: 59.5771, Train Loss: 4.5667, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 45.6600, Test Loss: 3.4609
Epoch 23, Train Acc: 59.9472, Train Loss: 4.5573, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.6500, Test Loss: 3.2182
Epoch 24, Train Acc: 60.0812, Train Loss: 4.5525, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.5200, Test Loss: 3.3086
Epoch 25, Train Acc: 60.2933, Train Loss: 4.5404, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.5500, Test Loss: 3.2800
Epoch 26, Train Acc: 60.3393, Train Loss: 4.5339, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.1600, Test Loss: 3.2487
Epoch 27, Train Acc: 60.6794, Train Loss: 4.5151, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.6600, Test Loss: 3.2888
Epoch 28, Train Acc: 60.8895, Train Loss: 4.5161, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.5600, Test Loss: 3.2356
Epoch 29, Train Acc: 60.8495, Train Loss: 4.5120, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 49.4200, Test Loss: 3.4121
Epoch 30, Train Acc: 61.0455, Train Loss: 4.5058, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.3100, Test Loss: 3.2767
Epoch 31, Train Acc: 61.3736, Train Loss: 4.4963, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.1600, Test Loss: 3.3651
Epoch 32, Train Acc: 60.9195, Train Loss: 4.4990, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.6500, Test Loss: 3.3691
Epoch 33, Train Acc: 61.5917, Train Loss: 4.4820, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 51.7400, Test Loss: 3.3572
Epoch 34, Train Acc: 61.6577, Train Loss: 4.4716, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.3600, Test Loss: 3.3060
Epoch 35, Train Acc: 62.0459, Train Loss: 4.4776, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.4300, Test Loss: 3.2609
Epoch 36, Train Acc: 61.7558, Train Loss: 4.4738, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 57.7100, Test Loss: 3.2566
Epoch 37, Train Acc: 61.8658, Train Loss: 4.4747, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9900, Test Loss: 3.3224
Epoch 38, Train Acc: 61.9918, Train Loss: 4.4709, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.0100, Test Loss: 3.3291
Epoch 39, Train Acc: 62.0679, Train Loss: 4.4672, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.0900, Test Loss: 3.3205
Epoch 40, Train Acc: 62.0238, Train Loss: 4.4567, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.4300, Test Loss: 3.2980
Epoch 41, Train Acc: 62.2559, Train Loss: 4.4558, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.0900, Test Loss: 3.3127
Epoch 42, Train Acc: 62.5220, Train Loss: 4.4440, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.3400, Test Loss: 3.2826
Epoch 43, Train Acc: 62.6280, Train Loss: 4.4522, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 55.3000, Test Loss: 3.2559
Epoch 44, Train Acc: 62.5580, Train Loss: 4.4462, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.9200, Test Loss: 3.3381
Epoch 45, Train Acc: 62.4280, Train Loss: 4.4406, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.9400, Test Loss: 3.2466
Epoch 46, Train Acc: 62.4900, Train Loss: 4.4445, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 53.4400, Test Loss: 3.3003
Epoch 47, Train Acc: 62.9641, Train Loss: 4.4337, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.3800, Test Loss: 3.3190
Epoch 48, Train Acc: 62.7821, Train Loss: 4.4318, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.3100, Test Loss: 3.3024
Epoch 49, Train Acc: 62.6641, Train Loss: 4.4394, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 56.9100, Test Loss: 3.2207
Epoch 50, Train Acc: 62.8161, Train Loss: 4.4321, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 52.6500, Test Loss: 3.3595
Epoch 51, Train Acc: 62.9381, Train Loss: 4.4292, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 54.9900, Test Loss: 3.2901
