Epoch 1, Train Acc: 8.1546, Train Loss: 4.9760, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 3.8700, Test Loss: 5.0178
Epoch 2, Train Acc: 13.1472, Train Loss: 5.6540, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 5.4000, Test Loss: 4.9588
Epoch 3, Train Acc: 16.5126, Train Loss: 6.3892, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 5.8100, Test Loss: 4.7557
Epoch 4, Train Acc: 20.3310, Train Loss: 7.0329, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 7.6400, Test Loss: 4.7970
Epoch 5, Train Acc: 23.2526, Train Loss: 7.6677, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 9.3300, Test Loss: 4.6693
Epoch 6, Train Acc: 26.2112, Train Loss: 8.1699, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 10.1900, Test Loss: 4.8750
Epoch 7, Train Acc: 28.9479, Train Loss: 8.6566, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 12.1500, Test Loss: 4.6806
Epoch 8, Train Acc: 31.8047, Train Loss: 9.1034, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 13.6200, Test Loss: 4.5100
Epoch 9, Train Acc: 34.5414, Train Loss: 9.3988, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 16.0600, Test Loss: 4.3721
Epoch 10, Train Acc: 37.2411, Train Loss: 9.6879, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 17.1100, Test Loss: 4.0971
Epoch 11, Train Acc: 40.7729, Train Loss: 9.8843, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 11.9500, Test Loss: 6.1010
Epoch 12, Train Acc: 43.0936, Train Loss: 10.0953, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 15.5700, Test Loss: 5.0484
Epoch 13, Train Acc: 45.1461, Train Loss: 10.3154, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 18.2700, Test Loss: 4.6292
Epoch 14, Train Acc: 47.0969, Train Loss: 10.5186, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 20.1300, Test Loss: 4.3627
Epoch 15, Train Acc: 49.4083, Train Loss: 10.6896, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 19.7200, Test Loss: 4.3144
Epoch 16, Train Acc: 50.8506, Train Loss: 10.8256, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 19.6700, Test Loss: 5.1689
Epoch 17, Train Acc: 52.3299, Train Loss: 10.9065, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 20.9100, Test Loss: 4.7019
Epoch 18, Train Acc: 54.0865, Train Loss: 11.0607, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 25.4900, Test Loss: 3.8642
Epoch 19, Train Acc: 55.8155, Train Loss: 11.1901, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 21.7300, Test Loss: 4.8449
Epoch 20, Train Acc: 56.5459, Train Loss: 11.3853, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 26.4500, Test Loss: 3.7971
Epoch 21, Train Acc: 57.9327, Train Loss: 11.0284, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 25.9600, Test Loss: 3.8524
Epoch 22, Train Acc: 59.2548, Train Loss: 10.6798, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 24.7400, Test Loss: 4.2071
Epoch 23, Train Acc: 60.3088, Train Loss: 10.4655, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 27.3300, Test Loss: 4.0269
Epoch 24, Train Acc: 61.4830, Train Loss: 10.1009, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 27.9100, Test Loss: 4.1001
Epoch 25, Train Acc: 63.2212, Train Loss: 9.7633, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 26.8100, Test Loss: 4.0302
Epoch 26, Train Acc: 63.8591, Train Loss: 9.6607, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 30.9200, Test Loss: 3.7112
Epoch 27, Train Acc: 64.9686, Train Loss: 9.3272, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 30.7400, Test Loss: 3.6616
Epoch 28, Train Acc: 65.7544, Train Loss: 9.0926, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 29.9600, Test Loss: 3.7382
Epoch 29, Train Acc: 66.3184, Train Loss: 9.0121, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 30.3700, Test Loss: 3.8519
Epoch 30, Train Acc: 67.4741, Train Loss: 8.7654, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 32.5600, Test Loss: 3.4694
Epoch 31, Train Acc: 67.8624, Train Loss: 8.6886, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 32.7600, Test Loss: 3.6103
Epoch 32, Train Acc: 67.4279, Train Loss: 8.7286, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 32.2300, Test Loss: 3.5676
Epoch 33, Train Acc: 68.7223, Train Loss: 8.3357, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 32.0200, Test Loss: 3.6559
Epoch 34, Train Acc: 68.9904, Train Loss: 8.2896, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 33.0200, Test Loss: 3.4658
