Epoch 1, Train Acc: 3.4948, Train Loss: 8.8510, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: 4.6114
Epoch 2, Train Acc: 3.3376, Train Loss: 7.7517, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 0.9900, Test Loss: 4.6122
Epoch 3, Train Acc: 3.1897, Train Loss: 7.7524, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: 4.6122
Epoch 4, Train Acc: 3.2822, Train Loss: 7.7393, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: 4.6111
Epoch 5, Train Acc: 3.5318, Train Loss: 7.7459, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.1900, Test Loss: 4.6074
Epoch 6, Train Acc: 5.1498, Train Loss: 7.6649, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.2600, Test Loss: 4.5955
Epoch 7, Train Acc: 6.7493, Train Loss: 7.6211, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.9000, Test Loss: 4.5716
Epoch 8, Train Acc: 7.3040, Train Loss: 7.5792, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.6700, Test Loss: 4.5768
Epoch 9, Train Acc: 7.7570, Train Loss: 7.5529, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.1400, Test Loss: 4.5464
Epoch 10, Train Acc: 7.8957, Train Loss: 7.5328, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.0500, Test Loss: 4.5509
Epoch 11, Train Acc: 8.3950, Train Loss: 7.4911, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.4700, Test Loss: 4.5325
Epoch 12, Train Acc: 8.3765, Train Loss: 7.4641, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.1300, Test Loss: 4.5402
Epoch 13, Train Acc: 8.7555, Train Loss: 7.4578, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.7800, Test Loss: 4.5422
Epoch 14, Train Acc: 8.8665, Train Loss: 7.4431, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.5800, Test Loss: 4.5248
Epoch 15, Train Acc: 8.9127, Train Loss: 7.4161, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.4600, Test Loss: 4.5235
Epoch 16, Train Acc: 9.1161, Train Loss: 7.4112, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 2.7200, Test Loss: 4.5214
Epoch 17, Train Acc: 10.6324, Train Loss: 7.3251, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 3.3000, Test Loss: 4.4956
Epoch 18, Train Acc: 11.4460, Train Loss: 7.2692, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 3.4500, Test Loss: 4.4793
Epoch 19, Train Acc: 12.0007, Train Loss: 7.2277, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 3.4800, Test Loss: 4.4672
Epoch 20, Train Acc: 12.5740, Train Loss: 7.1732, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 3.2500, Test Loss: 4.4480
Epoch 21, Train Acc: 14.7652, Train Loss: 7.1003, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 5.1000, Test Loss: 4.4238
Epoch 22, Train Acc: 16.6605, Train Loss: 7.0012, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 5.2700, Test Loss: 4.3916
Epoch 23, Train Acc: 18.9534, Train Loss: 6.9260, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 6.1900, Test Loss: 4.3823
Epoch 24, Train Acc: 20.3957, Train Loss: 6.8111, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 6.4500, Test Loss: 4.3726
Epoch 25, Train Acc: 22.6979, Train Loss: 6.6889, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 8.4000, Test Loss: 4.3203
Epoch 26, Train Acc: 24.4545, Train Loss: 6.5703, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 7.4000, Test Loss: 4.2999
Epoch 27, Train Acc: 26.8861, Train Loss: 6.4788, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 9.0700, Test Loss: 4.2474
Epoch 28, Train Acc: 28.8739, Train Loss: 6.3588, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 8.1100, Test Loss: 4.2485
Epoch 29, Train Acc: 30.5288, Train Loss: 6.2561, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 9.4700, Test Loss: 4.1927
Epoch 30, Train Acc: 31.8695, Train Loss: 6.1802, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 9.3600, Test Loss: 4.1967
Epoch 31, Train Acc: 33.2285, Train Loss: 6.1033, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 11.5400, Test Loss: 4.1413
Epoch 32, Train Acc: 34.4582, Train Loss: 6.0077, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 11.4500, Test Loss: 4.1166
Epoch 33, Train Acc: 36.1686, Train Loss: 5.9189, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 11.4900, Test Loss: 4.1198
Epoch 34, Train Acc: 37.6387, Train Loss: 5.8410, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 10.5100, Test Loss: 4.1813
Epoch 35, Train Acc: 39.1457, Train Loss: 5.7565, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 13.0100, Test Loss: 4.0718
Epoch 36, Train Acc: 39.7374, Train Loss: 5.7010, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 13.7600, Test Loss: 4.0618
Epoch 37, Train Acc: 41.3462, Train Loss: 5.6173, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 13.0700, Test Loss: 4.0964
Epoch 38, Train Acc: 42.7607, Train Loss: 5.5530, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 14.1300, Test Loss: 4.0039
Epoch 39, Train Acc: 43.9719, Train Loss: 5.4881, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 16.7100, Test Loss: 3.9764
Epoch 40, Train Acc: 45.1368, Train Loss: 5.4243, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 16.6800, Test Loss: 3.9776
Epoch 41, Train Acc: 46.4497, Train Loss: 5.3538, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 15.6300, Test Loss: 3.9917
Epoch 42, Train Acc: 48.4190, Train Loss: 5.2952, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 18.2900, Test Loss: 3.9490
Epoch 43, Train Acc: 49.1032, Train Loss: 5.2483, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 18.2900, Test Loss: 3.8935
