Epoch 1, Train Acc: 1.0023, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 2, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 3, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 4, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 5, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 6, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 7, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 8, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 9, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 10, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 11, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 12, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 13, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 14, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 15, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 16, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 17, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
